seed,family,tau,n,q,model,target,ISE,IAE,KL,p_hat,p_true,AE,RE
0,clayton,0.3,100,0.1,Ordinary,r,814.48920203983,0.8916891534714236,0.874870728060383,,,,
0,clayton,0.3,100,0.1,Ordinary,h,5423.931757759292,2.1004276828541344,3.880649657960695,,,,
0,clayton,0.3,100,0.1,Ordinary,c,814.4891628950293,0.089168911061635,0.08748706860136123,,,,
0,clayton,0.3,100,0.1,Tail,r,12391.9876403708,3.308316263528718,-1.1458589515460107,,,,
0,clayton,0.3,100,0.1,Tail,h,11123.469897619265,3.559312135278841,-0.9809981334019539,,,,
0,clayton,0.3,100,0.1,Tail,c,12391.987044805031,0.33083161045292125,-0.11458575703246729,,,,
0,clayton,0.3,100,0.1,Ordinary,p,,,,0.10275305273670071,0.04844870381167534,0.05430434892502537,1.1208627817188148
0,clayton,0.3,100,0.1,Tail,p,,,,0.08,0.04844870381167534,0.03155129618832466,0.651230966074294
0,clayton,0.3,500,0.044721359549995794,Ordinary,r,1780.8797161347675,0.9288536164261918,9.021581367586732,,,,
0,clayton,0.3,500,0.044721359549995794,Ordinary,h,8261.940563042475,1.981551342824483,19.68375611736,,,,
0,clayton,0.3,500,0.044721359549995794,Ordinary,c,1780.8798493829331,0.04153959965756627,0.4034574142366923,,,,
0,clayton,0.3,500,0.044721359549995794,Tail,r,1332.3424725711106,1.335302836228072,1.7452976298310157,,,,
0,clayton,0.3,500,0.044721359549995794,Tail,h,6440.382554217808,2.788736156470665,4.170024228463302,,,,
0,clayton,0.3,500,0.044721359549995794,Tail,c,1332.3425722590284,0.05971656271516969,0.0780520886654055,,,,
0,clayton,0.3,500,0.044721359549995794,Ordinary,p,,,,0.022693823344338296,0.02076293879846877,0.0019308845458695274,0.09299668821505783
0,clayton,0.3,500,0.044721359549995794,Tail,p,,,,0.024,0.02076293879846877,0.003237061201531232,0.15590573342969927
0,clayton,0.3,1000,0.03162277660168379,Ordinary,r,1780.8738281492724,0.9453727942662337,10.776799921131877,,,,
0,clayton,0.3,1000,0.03162277660168379,Ordinary,h,8442.031656176307,2.0215513189237595,23.752002614892504,,,,
0,clayton,0.3,1000,0.03162277660168379,Ordinary,c,1780.8739613969976,0.029895314915204068,0.340792361885605,,,,
0,clayton,0.3,1000,0.03162277660168379,Tail,r,1356.4649221237958,1.0508567961348396,1.9187574353674066,,,,
0,clayton,0.3,1000,0.03162277660168379,Tail,h,6603.696040142046,2.303014827628279,4.4539427503422795,,,,
0,clayton,0.3,1000,0.03162277660168379,Tail,c,1356.4650236165921,0.03323101219092858,0.0606783753724664,,,,
0,clayton,0.3,1000,0.03162277660168379,Ordinary,p,,,,0.016067254893150296,0.014524220657750744,0.0015430342353995527,0.10623869409310605
0,clayton,0.3,1000,0.03162277660168379,Tail,p,,,,0.016,0.014524220657750744,0.0014757793422492567,0.10160816039803952
0,clayton,0.3,5000,0.01414213562373095,Ordinary,r,1780.8411769049778,0.9207928668157604,11.766371627280998,,,,
0,clayton,0.3,5000,0.01414213562373095,Ordinary,h,8705.114583561808,2.0285662976387786,26.106701691524677,,,,
0,clayton,0.3,5000,0.01414213562373095,Ordinary,c,1780.8411277890148,0.013021977244723728,0.16640161876283718,,,,
0,clayton,0.3,5000,0.01414213562373095,Tail,r,869.6676514904646,0.8660548683662755,1.1191892752726516,,,,
0,clayton,0.3,5000,0.01414213562373095,Tail,h,4572.670745018194,1.953899034502179,2.7344530316499966,,,,
0,clayton,0.3,5000,0.01414213562373095,Tail,c,869.6676275048543,0.012247865068229708,0.015827743423868775,,,,
0,clayton,0.3,5000,0.01414213562373095,Ordinary,p,,,,0.006603939826122456,0.006396457851889036,0.00020748197423341944,0.03243701108296129
0,clayton,0.3,5000,0.01414213562373095,Tail,p,,,,0.007,0.006396457851889036,0.0006035421481109639,0.09435568279914838
0,clayton,0.6,100,0.1,Ordinary,r,15196.624353452778,3.015919095673894,4.833440434189786,,,,
0,clayton,0.6,100,0.1,Ordinary,h,32927.18038432966,4.377287954413901,10.064686916257145,,,,
0,clayton,0.6,100,0.1,Ordinary,c,15196.62362309461,0.30159189507271567,0.4833440201891968,,,,
0,clayton,0.6,100,0.1,Tail,r,5981.018358254292,2.0324249271612826,-0.5067508062397694,,,,
0,clayton,0.6,100,0.1,Tail,h,1245.4916468023494,1.2456687303620937,0.5532746348435094,,,,
0,clayton,0.6,100,0.1,Tail,c,5981.018070803247,0.2032424829481818,-0.04791683732548203,,,,
0,clayton,0.6,100,0.1,Ordinary,p,,,,0.1715094981213798,0.07938328535167258,0.09212621276970723,1.1605240619808406
0,clayton,0.6,100,0.1,Tail,p,,,,0.1,0.07938328535167258,0.020616714648327428,0.25971102804569224
0,clayton,0.6,500,0.044721359549995794,Ordinary,r,26222.303468129758,3.5972175456138182,30.572355570152563,,,,
0,clayton,0.6,500,0.044721359549995794,Ordinary,h,41624.87586535189,4.538069950294339,39.072917398301485,,,,
